solar-energy-hero	Solar Energy Hero	Hero	hero	hero	false		https://stream.mux.com/Fha8aU022LfL14z2WB1SbgIvq901NKvnl77OaQBOJXTk4.m3u8
bold-studio	Bold Studio	Hero	hero	hero	true		https://stream.mux.com/xXODVswlwrbuab005fgkLYqGNg9qxMZS92802jhmegjhE.m3u8
prisma-landing	Prisma Creative Studio	Landing Page	hero	landing	true		
3d-jack-portfolio-hero	3D Jack Portfolio	Portfolio	hero	landing	true		
art-landing	Art Landing	Landing Page	hero	landing	false		https://stream.mux.com/oyGPQ8mbNvS01JLrDUGJiQCd00HUn41EGTMIa601k767IE.m3u8
reveal-hero	Reveal Hero	Hero	hero	hero	false		https://stream.mux.com/WuNDVUgyyrxFhrn2QxrF1LjMS3nBwrD7xjMNnIEn6nU.m3u8
velorah-hero	Velorah	Agency	hero	hero	true		
9	Web3 EOS Hero	Web3	hero	hero	false		
aetheris-voyage-hero	Aetheris Voyage	Hero Section	hero	hero	true		
codercrest-hero	CoderCrest	SaaS	hero	hero	false		
vex-ventures-hero	VEX Ventures	Hero Section	hero	hero	true		
skyelite-hero	SkyElite Private Jets	Landing Page	hero	hero	true		
urban-jungle-hero	Urban Jungle	Landing Page	hero	landing	false		
modern-agency	Modern Agency	Agency	hero	landing	true		https://stream.mux.com/gUXSp2ByuPZuBqhtjly028le1RHgF3eqXHLUNZVbczgQ.m3u8
liquid-glass-agency	Liquid Glass Agency	Landing Page	hero	landing	false		
luxury-editorial-ecommerce-design	Luxury Ecommerce Design	Ecommerce	hero	hero	false		https://stream.mux.com/1tb5PLrFcCkmoBqvflyFoYir9gXKn9njA0002dKgM5hLg.m3u8
grow-ai-hero	Grow AI Talent Platform	SaaS	hero	hero	false		
aethera-hero	Aethera Studio	Hero Section	hero	hero	true		
5	Glassmorphism Agency Hero	Agency	hero	hero	false		
asme-hero	Asme	Hero Section	hero	hero	true		
14	Logoisum Video Agency	Agency	hero	hero	false		
innovation-landing	Innovation	Landing Page	hero	landing	true		
10	AI Automation Hero	AI / SaaS	hero	hero	false		
orbis-nft-landing	Orbis NFT	Landing Page	hero	landing	true		
7	Synapse Dark Hero	SaaS	hero	hero	false		
portfolio-cosmic-hero	Portfolio Cosmic	Portfolio	hero	landing	true		
16	HR SaaS Hero	SaaS	hero	hero	false		
securify-hero	Securify Data Security	SaaS	hero	hero	true		
1	New Era Bold Hero	Agency	hero	hero	false		
portal-hero	Portal	Hero Section	hero	hero	true		
max-reed-portfolio	Max Reed Portfolio	Features	features	hero	true		https://stream.mux.com/hKCFPaFLC9Wgvyr01ztcjJBERpeuiJQDxZMmWaRDMUk8.m3u8
celestia-hero	Celestia	Hero Section	hero	hero	true		
21	Buzzentic Agency	Agency	hero	hero	false		
mindloop-landing	Mindloop Landing	Landing Page	hero	landing	true		
18	Loader Animation	Component	hero	hero	false		
ember-dsgn-hero	EMBER.dsgn	Hero Section	hero	hero	false		
3	ClearInvoice SaaS Hero	SaaS	hero	hero	false		
rivr-hero	RIVR	Hero Section	hero	hero	true		
wisa-space-hero	WISA Space	Hero Section	hero	hero	false		
vortex-studio-hero	AI Designer Portfolio	Landing Page	hero	hero	true		
12	Targo Logistics Hero	SaaS	hero	hero	false		
codenest-hero	CodeNest Coding Platform	Landing Page	hero	hero	true		
acreage-farming-hero	Acreage Farming	Landing Page	hero	landing	false		
power-ai-hero	Power AI	Hero Section	hero	hero	true		
impressive-hero	Impressive Hero	Hero Section	hero	hero	false		
bloom-ai-hero	Bloom AI	Hero Section	hero	hero	true		
flowmate-landing	FlowMate	Landing Page	hero	landing	false		
luminex-hero	Luminex	Hero Section	hero	hero	true		
nike-premium-landing	Nike Premium Landing	Landing Page	hero	landing	false		
sentinel-ai-hero	Sentinel AI	Hero Section	hero	hero	true		
slam-dunk-hero	Slam Dunk	Hero Section	hero	landing	false		
designpro-hero	DesignPro Academy	Hero Section	hero	hero	true		
crypto-wealth-hero	Crypto Wealth	Hero Section	hero	landing	false		
nexora-hero	Nexora Automation	SaaS	hero	hero	true		
shamoni-hero	Shamoni	Hero Section	hero	landing	false		
transform-data-hero	Transform Data	Hero Section	hero	hero	true		
glow-features	Glow Features	Features Section	features	hero	true		
lumina-footer	Lumina	Footer Section	footer	hero	true		
nexacore-hero	NexaCore	Landing Page	hero	landing	false		
halo-usd-landing	USD Halo	Landing Page	hero	landing	true		
stellar-ai-v2-hero	Sync AI	Hero Section	hero	hero	false		
taskly-hero	Taskly	Hero Section	hero	hero	true		
xportfolio-hero	xPortfolio Hero	Hero Section	hero	hero	false		
stellar-ai-hero	Stellar AI	Hero Section	hero	hero	true		
ai-designer-agency	AI Designer Agency	Landing Page	hero	landing	false		
datacore-booking-hero	Datacore Booking	SaaS	hero	hero	true		
neovision-landing	NeoVision	Landing Page	hero	landing	false		
convix-software-hero	SAAS Software	SaaS	hero	hero	true		
guardnet-landing	Guardnet	Landing Page	hero	landing	false		
neuralyn-hero	Neuralyn	SaaS	hero	hero	true		
automation-machines-hero	Automation Machines	Hero Section	hero	hero	false		
digitwist-hero	Digitwist AI Builder	SaaS	hero	hero	true		
20	Space Voyage	Landing Page	hero	hero	false		
